match_id,blue_win,blue_champ_1,blue_champ_2,blue_champ_3,blue_champ_4,blue_champ_5,red_champ_1,red_champ_2,red_champ_3,red_champ_4,red_champ_5
EUW1_7483404110,1,106,20,80,51,37,85,104,55,145,267
EUW1_7479798890,1,27,67,7,145,53,412,56,84,498,235
EUW1_7479767415,1,82,56,55,236,201,24,20,161,145,25
EUW1_7478434748,0,150,887,103,222,43,240,64,136,523,25
EUW1_7453697545,0,8,19,711,901,1,80,35,517,221,37
EUW1_7453648738,1,98,106,103,235,99,114,5,238,202,9
EUW1_7453594426,0,8,234,157,15,267,17,11,4,67,147
EUW1_7453562124,0,22,238,45,21,89,58,9,39,202,800
EUW1_7452563315,0,122,59,518,21,99,10,35,143,22,25
EUW1_7452520098,1,48,32,4,29,267,6,76,157,51,50
EUW1_7452471845,1,86,141,517,236,555,98,56,84,202,99
EUW1_7626340254,0,157,233,8,202,518,82,64,45,51,902
EUW1_7626292966,1,83,54,61,166,111,777,233,157,901,53
EUW1_7625077967,1,904,19,8,67,34,24,105,246,202,800
EUW1_7625030631,1,875,141,8,51,143,106,24,901,222,50
EUW1_7619335289,1,141,20,157,901,267,904,131,238,523,63
EUW1_7619298667,0,875,24,8,221,147,150,64,25,145,60
EUW1_7619285555,0,75,64,157,21,555,875,24,238,202,143
EUW1_7619236132,0,904,32,8,67,16,17,517,711,145,57
EUW1_7593491902,1,133,254,238,45,25,875,141,1,42,89
EUW1_7580287873,1,82,17,245,21,98,6,107,101,901,25
EUW1_7567123347,1,14,238,25,21,17,82,141,7,236,44
EUW1_7556171193,0,122,24,90,22,99,875,254,157,81,98
EUW1_7552849011,1,19,104,103,523,147,82,29,4,22,99
EUW1_7543329847,1,19,104,98,360,54,74,141,166,110,99
EUW1_7543290076,1,133,106,238,523,201,875,233,157,202,147
EUW1_7538254734,0,2,234,166,22,25,875,887,77,145,432
EUW1_7536127824,1,875,56,245,51,35,80,28,45,21,25
EUW1_7536106013,0,875,59,3,222,111,79,141,7,901,53
EUW1_7535431774,1,83,107,166,67,99,875,233,105,50,57
EUW1_7529710765,0,24,30,122,145,154,84,131,245,236,89
EUW1_7647596219,1,82,245,800,51,53,86,24,115,222,45
EUW1_7647549255,1,266,141,142,51,99,54,234,777,145,45
EUW1_7647484389,0,106,32,777,51,432,86,950,134,145,45
EUW1_7646856528,0,54,11,84,202,99,875,39,103,21,59
EUW1_7646171159,0,875,32,777,119,497,904,121,166,21,412
EUW1_7645336972,1,86,11,4,18,526,67,517,101,222,44
EUW1_7643047152,0,875,233,90,895,16,54,141,163,67,350
EUW1_7642994627,1,54,77,10,110,267,6,141,55,145,143
EUW1_7642880707,0,54,141,910,119,526,36,517,55,21,111
EUW1_7642806241,0,13,517,39,21,432,80,141,38,110,12
EUW1_7641524079,0,126,141,13,145,99,36,80,910,202,555
EUW1_7641185811,0,122,24,7,81,143,86,141,45,360,111
EUW1_7640233470,0,74,266,901,222,54,904,141,90,360,111
EUW1_7628606518,0,875,64,38,221,267,6,203,45,910,17
EUW1_7627027063,0,233,141,45,901,99,904,31,55,222,147
EUW1_7626972212,1,904,141,45,901,143,266,64,777,222,111
EUW1_7626837297,1,777,141,74,360,89,31,904,8,51,412
